Directory Path                                                                   | Number of Entries
----------------------------------------------------------------------------------------------------
/home/whalien/Desktop/compile_commands                                           | 13035
/home/whalien/Desktop/compile_commands/external/XNNPACK                          | 2957
/home/whalien/Desktop/compile_commands/external/cronet                           | 2780
/home/whalien/Desktop/compile_commands/external/skia                             | 2002
/home/whalien/Desktop/compile_commands/frameworks/av                             | 1740
/home/whalien/Desktop/compile_commands/external/ltp                              | 1720
/home/whalien/Desktop/compile_commands/hardware/interfaces                       | 1466
/home/whalien/Desktop/compile_commands/packages/modules/Bluetooth                | 1329
/home/whalien/Desktop/compile_commands/external/swiftshader                      | 1329
/home/whalien/Desktop/compile_commands/bionic                                    | 1305
/home/whalien/Desktop/compile_commands/external/webrtc                           | 1262
/home/whalien/Desktop/compile_commands/external/deqp                             | 1244
/home/whalien/Desktop/compile_commands/external/llvm                             | 1070
/home/whalien/Desktop/compile_commands/frameworks/base                           | 1028
/home/whalien/Desktop/compile_commands/art                                       | 1009
/home/whalien/Desktop/compile_commands/frameworks/native                         | 990
/home/whalien/Desktop/compile_commands/packages/modules/NeuralNetworks           | 913
/home/whalien/Desktop/compile_commands/external/icu                              | 766
/home/whalien/Desktop/compile_commands/external/tensorflow                       | 659
/home/whalien/Desktop/compile_commands/external/perfetto                         | 646
/home/whalien/Desktop/compile_commands/system/core                               | 547
/home/whalien/Desktop/compile_commands/external/clang                            | 528
/home/whalien/Desktop/compile_commands/external/angle                            | 494
/home/whalien/Desktop/compile_commands/external/libchrome                        | 494
/home/whalien/Desktop/compile_commands/device/google/cuttlefish                  | 485
/home/whalien/Desktop/compile_commands/external/elfutils                         | 482
/home/whalien/Desktop/compile_commands/external/pdfium                           | 466
/home/whalien/Desktop/compile_commands/cts                                       | 439
/home/whalien/Desktop/compile_commands/external/grpc-grpc                        | 414
/home/whalien/Desktop/compile_commands/external/boringssl                        | 408
/home/whalien/Desktop/compile_commands/external/ComputeLibrary                   | 407
/home/whalien/Desktop/compile_commands/external/libtextclassifier                | 346
/home/whalien/Desktop/compile_commands/external/wpa_supplicant_8                 | 340
/home/whalien/Desktop/compile_commands/external/libvpx                           | 328
/home/whalien/Desktop/compile_commands/external/libaom                           | 293
/home/whalien/Desktop/compile_commands/external/libhevc                          | 268
/home/whalien/Desktop/compile_commands/external/tpm2-tss                         | 266
/home/whalien/Desktop/compile_commands/packages/services/Car                     | 245
/home/whalien/Desktop/compile_commands/external/e2fsprogs                        | 242
/home/whalien/Desktop/compile_commands/system/extras                             | 239
/home/whalien/Desktop/compile_commands/external/strace                           | 221
/home/whalien/Desktop/compile_commands/external/compiler-rt                      | 218
/home/whalien/Desktop/compile_commands/external/ms-tpm-20-ref                    | 212
/home/whalien/Desktop/compile_commands/external/python/cpython3                  | 206
/home/whalien/Desktop/compile_commands/external/python/cpython2                  | 198
/home/whalien/Desktop/compile_commands/external/curl                             | 197
/home/whalien/Desktop/compile_commands/system/chre                               | 193
/home/whalien/Desktop/compile_commands/external/protobuf                         | 191
/home/whalien/Desktop/compile_commands/frameworks/compile/mclinker               | 190
/home/whalien/Desktop/compile_commands/system/update_engine                      | 185
/home/whalien/Desktop/compile_commands/external/tcpdump                          | 183
/home/whalien/Desktop/compile_commands/external/libxaac                          | 182
/home/whalien/Desktop/compile_commands/external/toybox                           | 180
/home/whalien/Desktop/compile_commands/external/vixl                             | 175
/home/whalien/Desktop/compile_commands/external/deqp-deps/SPIRV-Tools            | 175
/home/whalien/Desktop/compile_commands/device/generic/vulkan-cereal              | 174
/home/whalien/Desktop/compile_commands/external/aac                              | 172
/home/whalien/Desktop/compile_commands/external/libavc                           | 167
/home/whalien/Desktop/compile_commands/packages/modules/StatsD                   | 150
/home/whalien/Desktop/compile_commands/external/libjpeg-turbo                    | 150
/home/whalien/Desktop/compile_commands/frameworks/rs                             | 148
/home/whalien/Desktop/compile_commands/external/iproute2                         | 146
/home/whalien/Desktop/compile_commands/external/cblas                            | 145
/home/whalien/Desktop/compile_commands/external/libopus                          | 145
/home/whalien/Desktop/compile_commands/external/ImageMagick                      | 142
/home/whalien/Desktop/compile_commands/external/arm-neon-tests                   | 134
/home/whalien/Desktop/compile_commands/external/webp                             | 128
/home/whalien/Desktop/compile_commands/external/abseil-cpp                       | 128
/home/whalien/Desktop/compile_commands/hardware/google/pixel                     | 127
/home/whalien/Desktop/compile_commands/packages/inputmethods/LatinIME            | 127
/home/whalien/Desktop/compile_commands/external/selinux                          | 127
/home/whalien/Desktop/compile_commands/external/libgav1                          | 124
/home/whalien/Desktop/compile_commands/frameworks/wilhelm                        | 119
/home/whalien/Desktop/compile_commands/system/unwinding                          | 118
/home/whalien/Desktop/compile_commands/external/catch2                           | 115
/home/whalien/Desktop/compile_commands/external/jemalloc_new                     | 105
/home/whalien/Desktop/compile_commands/system/nfc                                | 104
/home/whalien/Desktop/compile_commands/packages/modules/adb                      | 103
/home/whalien/Desktop/compile_commands/bootable/recovery                         | 102
/home/whalien/Desktop/compile_commands/system/keymaster                          | 100
/home/whalien/Desktop/compile_commands/hardware/google/camera                    | 99
/home/whalien/Desktop/compile_commands/external/google-breakpad                  | 94
/home/whalien/Desktop/compile_commands/external/parameter-framework              | 93
/home/whalien/Desktop/compile_commands/libcore                                   | 93
/home/whalien/Desktop/compile_commands/system/tools/hidl                         | 89
