project,dir,filename,count,reason,summary
aosp/art,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/art/04a110da-f701823d-c968f45f,libnativeloader/public_libraries.raw.cpp,2,style related,"total: 20, correct: 16"
aosp/art,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/art/5eec36fc-3e30f7a4-9f9413b0,odrefresh/odrefresh.raw.cc,2,"one side change, one side deletion",
aosp/art,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/art/0011b50c-c831818b-96d09a10,libnativeloader/library_namespaces.raw.cpp,1,style related,
aosp/art,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/art/28e11de3-f4a0906b-49a98ce7,runtime/gc/collector/mark_compact.raw.cc,3,"1 style related, 1 one side change, one side deletion, 1 only one side change",
aosp/art,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/art/40c2e498-29579cc5-38b68d85,libnativeloader/public_libraries.raw.cpp,2,"one side change, one side deletion",
aosp/art,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/art/183ef2e9-9f9413b0-4e97dd87,runtime/thread_list.raw.cc,1,only one side change,
aosp/art,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/art/727fa8fb-9da5bba7-8af6a618,libnativeloader/public_libraries.raw.cpp,3,"one side change, one side deletion",
aosp/art,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/art/3557b865-344f4e7e-f5107e92,runtime/gc/heap.raw.cc,1,"one side change, one side deletion",
aosp/art,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/art/bed1f3cd-96d09a10-f701823d,libnativeloader/public_libraries.raw.cpp,2,"one side change, one side deletion",
aosp/art,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/art/cdd3206f-4d45b861-403cf5cb,runtime/trace.raw.cc,1,"one side change, one side deletion",
duckdb/duckdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/duckdb/7a06a608-104cfacc-39f4ff41,src/function/table/sniff_csv.raw.cpp,1,only one side change,"total: 6, correct: 6"
duckdb/duckdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/duckdb/8e5b98eb-65cfcd58-e8610c85,rc/execution/operator/join/physical_hash_join.raw.cpp,1,only one side change,
duckdb/duckdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/duckdb/8e5b98eb-65cfcd58-e8610c85,src/parallel/pipeline_executor.raw.cpp,1,only one side change,
duckdb/duckdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/duckdb/467d79b9-d84e329b-3dcba6d0,src/catalog/catalog_entry/duck_table_entry.raw.cpp,1,style related,
duckdb/duckdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/duckdb/71385710-31a2467e-07b75e3c,src/function/function.raw.cpp,1,"one side change, one side deletion",
duckdb/duckdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/duckdb/ebb024b0-094226ff-f4295958,src/storage/checkpoint_manager.raw.cpp,1,only one side change,
flameshot-org/flameshot,,,0,,"total: 0, correct:0"
aosp/frameworks/av,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_av/8bb0e69f-ab2b3e66-b97e7d63,services/camera/libcameraservice/CameraService.raw.cpp,1,"one side change, one side deletion","total: 8, correct: 6"
aosp/frameworks/av,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_av/85ee9083-cb0fcde9-3944a1b7,services/audiopolicy/common/managerdefinitions/src/AudioOutputDescriptor.raw.cpp,1,"one side change, one side deletion",
aosp/frameworks/av,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_av/578a017a-eda0965e-b0b34366,services/audioflinger/Effects.raw.cpp,1,"one side change, one side deletion",
aosp/frameworks/av,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_av/2475cf40-77b8c802-35b28e5f,services/mediaresourcemanager/ResourceManagerService.raw.cpp,1,style related,
aosp/frameworks/av,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_av/9468f951-e23cbd26-faafe298,media/libstagefright/MediaCodec.raw.cpp,1,"one side change, one side deletion",
aosp/frameworks/av,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_av/5827691a-71a5eb28-c03ada6c,services/camera/libcameraservice/CameraService.raw.cpp,1,"one side change, one side deletion",
aosp/frameworks/av,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_av/e0c3d791-d7227f1c-10d0f99e,media/libmediaplayerservice/nuplayer/NuPlayerDriver.raw.cpp,1,style related,
aosp/frameworks/av,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_av/e52f5c58-94c719f4-38b856f7,services/camera/libcameraservice/CameraService.raw.cpp,4,"3 one side change, one side deletion, 1 style related",
aosp/frameworks/native,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_native/8e0660dc-8b1d65e8-8bf4487a,libs/binder/ndk/include_cpp/android/persistable_bundle_aidl.raw.h,44,style related,"total: 90, correct: 89"
aosp/frameworks/native,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_native/97834be3-ef710a3a-eb83011e,libs/binder/ndk/include_cpp/android/persistable_bundle_aidl.raw.h,44,style related,
aosp/frameworks/native,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_native/ddfd0eff-c84d6d7d-fe42efcc,services/inputflinger/dispatcher/InputDispatcher.raw.cpp,1,only one side change,
aosp/frameworks/native,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/frameworks_native/dfe9f602-826244e8-315bc4e1,opengl/libs/EGL/Loader.raw.cpp,1,only one side change,
grpc/grpc,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/grpc/16fc98f5-172f61a3-18695e30,src/core/ext/transport/chttp2/transport/chttp2_transport.raw.cc,1,style related,"total: 3, correct: 3"
grpc/grpc,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/grpc/19294066-be58863a-172f61a3,src/core/ext/transport/chttp2/transport/chttp2_transport.raw.cc,1,only one side change,
grpc/grpc,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/grpc/acbda983-2d73a175-8cd6ee62,src/core/lib/security/credentials/google_default/google_default_credentials.raw.cc,1,"one side change, one side deletion",
redis/redis,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/redis/d433ebc6-b4f2e412-2b00385d,src/t_zset.raw.c,3,style related,"total: 4, correct: 4"
redis/redis,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/redis/dda8cc18-6e98214f-d8207d09,src/replication.raw.c,1,style related,
